FIRST_NAME,LAST_NAME,SPORT,FULL_RESIDENCE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Ryann,Phillips,Shooting,"Corpus Christi, Texas",27.797802,-97.399067,1,place,,,,,Corpus Christi,TX,Nueces County,78401,US,TIGER/Line® dataset from the US Census Bureau
Austen ,Smith,Shooting,"Keller, Texas",32.928037,-97.283914,1,place,,,,,Keller,TX,Tarrant County,76244,US,TIGER/Line® dataset from the US Census Bureau
Ada,Khorkin ,Shooting ,"Brookline , Massachusetts ",42.308198,-71.088745,1,place,,,,,Brookline,MA,Suffolk County,2146,US,TIGER/Line® dataset from the US Census Bureau
Vincent,Hancock,Shooting,"Fort Worth, Texas",32.771419,-97.291484,1,place,,,,,Fort Worth,TX,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
Derrick,Mein,Shooting,"Marengo, Ohio",40.406317,-82.782091,1,place,,,,,Marengo,OH,Morrow County,43334,US,TIGER/Line® dataset from the US Census Bureau
Conner,Prince,Shooting,"Burleson, Texas",32.492683,-97.264359,1,place,,,,,Burleson,TX,Johnson County,76028,US,TIGER/Line® dataset from the US Census Bureau
Keith,Sanderson,Shooting,"Seattle, Washington",47.610902,-122.336422,1,place,,,,,Seattle,WA,King County,98101,US,TIGER/Line® dataset from the US Census Bureau
Henry ,Leverett ,Shooting ,"Vienna , Austria ",38.897361,-77.253749,1,place,,,,,Vienna,VA,Fairfax County,22180,US,TIGER/Line® dataset from the US Census Bureau
Chris,Joslin,Skateboarding,"Hawaiian Gardens, California",33.830967,-118.072796,1,place,,,,,Hawaiian Gardens,CA,Los Angeles County,90716,US,TIGER/Line® dataset from the US Census Bureau
Gavin ,Bottger,Skateboarding,"Oceanside , California",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
Jagger,Eaton,Skateboarding,"Los Angeles, California",33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Nyjah,Huston,Skateboarding,"Laguna Beach, California",33.520941,-117.741315,1,place,,,,,Laguna Beach,CA,Orange County,92651,US,TIGER/Line® dataset from the US Census Bureau
Tate ,Carew,Skateboarding,"San Diego , California",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Tom,Schaar,Skateboarding,"San Diego , California",32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Bryce,Wettstein,Skateboarding,"Encinitas, California",33.016928,-116.846046,1,place,,,,,Encinitas,CA,San Diego County,92023,US,TIGER/Line® dataset from the US Census Bureau
Mariah,Duran,Skateboarding,"Albuquerque, New Mexico",35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Sandoval County,87101,US,TIGER/Line® dataset from the US Census Bureau
Minna ,Stess,Skateboarding,"Petaluma, California",38.265366,-122.822588,1,place,,,,,Petaluma,CA,Sonoma County,94952,US,TIGER/Line® dataset from the US Census Bureau
Paige ,Heyn,Skateboarding,"Tempe, Arizona ",33.401395,-111.931298,1,place,,,,,Tempe,AZ,Maricopa County,85280,US,TIGER/Line® dataset from the US Census Bureau
Poe ,Pinson,Skateboarding,"Fernandina Beach , Florida ",30.609692,-81.49172,1,place,,,,,Fernandina Beach,FL,Nassau County,32034,US,TIGER/Line® dataset from the US Census Bureau
Ruby,Lilley,Skateboarding,"Oceanside , California ",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
Brooke,Raboutou,Sport Climbing,"Boulder, Colorado",40.049468,-105.201421,1,place,,,,,Boulder,CO,Boulder County,80301,US,TIGER/Line® dataset from the US Census Bureau
Emma ,Hunt,Sport Climbing,"Woodstock, Georgia",34.127398,-84.481787,1,place,,,,,Woodstock,GA,Cherokee County,30188,US,TIGER/Line® dataset from the US Census Bureau
Natalia,Grossman,Sport Climbing,"Salt Lake City, Utah",40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Piper,Kelly,Sport Climbing,"Salt Lake City, Utah",40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Jesse,Grupper,Sport Climbing,"Salt Lake City, Utah",40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Samuel,Watson,Sport Climbing,"Dallas, Texas",32.781179,-96.790329,1,place,,,,,Dallas,TX,Dallas County,75201,US,TIGER/Line® dataset from the US Census Bureau
Zach ,Hammer,Sport Climbing,"Ann Arbor, Michigan",42.266638,-83.849042,1,place,,,,,Ann Arbor,MI,Washtenaw County,48103,US,TIGER/Line® dataset from the US Census Bureau
Griffin,Colapinto,Surfing,"San Clemente, California",33.42362,-117.606843,1,place,,,,,San Clemente,CA,Orange County,92672,US,TIGER/Line® dataset from the US Census Bureau
Caitlin,Simmers,Surfing,"Oceanside, California",33.195534,-117.354538,1,place,,,,,Oceanside,CA,San Diego County,92054,US,TIGER/Line® dataset from the US Census Bureau
