first_name,last_name,sport,location_name,lat,long,location_type
Brady,Ellison,Archery,Chula Vista Elite Athlete Training Center,31.780781,-94.235334,School
Anita,Alvarez,Artistic Swimming,Pasadena City College,29.678179,-95.202911,School
Jacklyn,Luu,Artistic Swimming,Stanford University,37.42509,-122.1675,School
Keana,Hunter,Artistic Swimming,Bellevue College,47.615471,-122.207221,School
Jimmer,Fredette,Basketball 3x3,Brigham Young University,33.741518,-110.860653,School
Cameron,Brink,Basketball 3x3,Stanford University,37.42509,-122.1675,School
Stephen,Curry,Basketball,Davidson College,35.50233,-80.83912,School
Kawhi,Leonard,Basketball,San Diego State University,33.401085,-117.594174,School
Jayson,Tatum,Basketball,Chaminade College Preparatory School,32.904485,-111.247908,School
Brittney,Griner,Basketball,Baylor University,38.122794,-97.766352,School
Jewell,Loyd,Basketball,University of Notre Dame,41.712015,-86.249752,School
Jackie,Young,Basketball,University of Notre Dame,41.712015,-86.249752,School
Miles,Evans,Beach Volleyball,UC Santa Barbara,34.421897,-119.707135,School
Omari,Jones,Boxing,Valencia College,32.904485,-111.247908,School
Evy,Leibfarth,Canoeing,Davidson College,35.50233,-80.83912,School
Nevin,Harrison,Canoeing,San Diego State University,33.401085,-117.594174,School
Alise,Willoughby,Cycling (BMX Racing),University of San Diego,32.74887,-117.122209,School
Chloe,Dygert,Cycling (Road),Marian University,40.584028,-83.101687,School
Felicia,Stancil,Cycling (BMX Racing),Marian University,40.584028,-83.101687,School
Hannah,Roberts,Cycling (BMX Freestyle),Buchanan High School,41.841369,-86.429249,School
Kristen,Faulkner,Cycling (Track Cycling),Harvard University,42.42224,-88.61371,School
Lily,Williams,Cycling (Track Cycling),Northwestern University ’17,42.0564634,-87.6778419,School
Lily,Williams,Cycling (Track Cycling),Vanderbilt University ’16,36.1447077,-86.80523,School
Savilia,Blunk,Cycling (Mountain Bike),Fort Lewis College,37.936208,-99.254501,School
Taylor,Knibb,Cycling (Road),Cornell University,45.125153,-91.170922,School
Olivia,Cummins,Cycling (Track Cycling),Colorado Mesa University,39.065852,-108.49374,School
