first_name,last_name,sport,location_name,lat,long,location_type
Jeff,Jendryk II,Volleyball,"Wheaton, Illinois",41.87272,-88.112442,Hometown
Garrett,Muagututia,Volleyball,"Oceanside , California",33.195534,-117.354538,Hometown
Aaron,Russell,Volleyball,"Ellicott City, Maryland",39.236405,-76.941902,Hometown
Erik,Shoji,Volleyball,"Honolulu, Hawaii",21.316548,-157.845053,Hometown
Lauren,Carlini,Volleyball,"Aurora , Illinois ",41.747452,-88.238622,Hometown
Annie,Drews,Volleyball,"Elkhart , Indiana ",41.71873,-85.937024,Hometown
Jordan,Larson,Volleyball,"Hooper , Nebraska ",41.621961,-96.549316,Hometown
Chiaka,Ogbogu,Volleyball,"Coppell , Texas ",32.963417,-96.984664,Hometown
Kathryn,Plummer,Volleyball,"Aliso Viejo , California",33.576205,-117.730364,Hometown
Jordyn,Poulter,Volleyball,"Aurora , Colorado ",39.739249,-104.862881,Hometown
Dana,Rettke,Volleyball,"Riverside , Illinois ",41.83503,-87.82284,Hometown
Kelsey,Robinson Cook,Volleyball,"Bartlett , Illinois ",41.980446,-88.203407,Hometown
Avery,Skinner,Volleyball,"Katy , Texas ",29.837562,-95.733756,Hometown
Haleigh,Washington,Volleyball,"Colorado Springs , Colorado ",38.828893,-104.809929,Hometown
Amanda,Longan,Water Polo,"Moorpark, California",34.285558,-118.882041,Hometown
Ashleigh,Johnson,Water Polo,"Miami, Florida",25.558428,-80.458168,Hometown
Jenna,Flynn,Water Polo,"San Jose, California",37.346608,-121.909871,Hometown
Jewel,Roemer,Water Polo,"Martinez, California",37.986421,-122.134976,Hometown
Kaleigh,Gilchrist,Water Polo,"Newport Beach, California",33.640302,-117.769442,Hometown
Maggie,Steffens,Water Polo,"Danville, California",37.832075,-121.916718,Hometown
Madeline,Musselman,Water Polo,"Newport Beach, California",33.640302,-117.769442,Hometown
Rachel,Fattal,Water Polo,"Seal Beach, California",33.74141,-118.10479,Hometown
Adrian,Weinberg,Water Polo,"Los Angeles, California",33.973951,-118.248405,Hometown
Alex,Bowen,Water Polo,"Santee, California",32.843956,-116.994511,Hometown
Ben,Hallock,Water Polo,"Westlake Village, California",34.137015,-118.82193,Hometown
Chase,Dodd,Water Polo,"Long Beach, California",33.756024,-118.201101,Hometown
Drew,Holland,Water Polo,"Orinda, California",37.87715,-122.17969,Hometown
Dylan,Woodhead,Water Polo,"San Anselmo, California",37.995864,-122.577814,Hometown
Hannes,Daube,Water Polo,"Long Beach, California",33.756024,-118.201101,Hometown
Johnny,Hooper,Water Polo,"Los Angeles, California",33.973951,-118.248405,Hometown
Marko,Vavic,Water Polo,"Rancho Palos Verdes, California",33.753146,-118.367459,Hometown
Max,Irving,Water Polo,"Long Beach, California",33.756024,-118.201101,Hometown
Ryder,Dodd,Water Polo,"Long Beach, California",33.756024,-118.201101,Hometown
Hampton,Morris,Weightlifting,"Marietta , Georgia ",33.912473,-84.557181,Hometown
Wes,Kitts,Weightlifting,"Knoxville , Tennessee ",36.032334,-83.884804,Hometown
Jourdan,Delacruz,Weightlifting,"Wylie, Texas",33.012135,-96.534936,Hometown
Mary,Theisen-Lappen,Weightlifting,"Eau Claire, Wisconsin ",44.75653,-91.473097,Hometown
Olivia,Reeves,Weightlifting,"Hixson, Tennessee ",35.166775,-85.21024,Hometown
Amit,Elor,Wrestling,"Walnut Creek, California",37.873343,-122.070625,Hometown
Dom,Parrish,Wrestling,"Scotts Valley, California",37.071387,-122.006276,Hometown
Kayla,Miracle,Wrestling,"Bloomington, Indiana",39.07881,-86.435094,Hometown
Sarah,Hildebrandt,Wrestling,"Granger, Indiana",41.734912,-86.139868,Hometown
Kyle,Snyder,Wrestling,"Woodbine, Maryland",39.402352,-77.081821,Hometown
Zain,Retherford,Wrestling,"Benton, Pennsylvania ",41.218998,-76.395426,Hometown
Ben,Davison,Rowing,"Iverness , Florida ",28.8447,-82.3631194,Current residence
John John,Florence,Surfing,"North Shore, Oahu, Hawaii",21.5991756,-158.2655747,Current residence
Tommy,Paul,Tennis,"Boca Rotan , Florida ",26.3728294,-80.1173655,Current residence
Jessica,Pegula,Tennis,"Boca Rotan , Florida ",26.3728294,-80.1173655,Current residence
Grant,Koontz,Cycling (Track Cycling),"Tollan , Colorado",39.595212,-105.974117,Current residence
Rachel,Tozier,Shooting,"Fort Moore, Georgia",33.58016,-84.326757,Current residence
Ivan,Roe,Shooting,"Fort Moore, Georgia",33.58016,-84.326757,Current residence
Will,Hinton,Shooting,"Fort Moore, Georgia",33.58016,-84.326757,Current residence
Lily,Williams,Cycling (Track Cycling),"Provence , France ",38.446793,-78.557513,Current residence
Angelica,Delgado,Judo,"Coconut Creek, Florida ",26.399526,-81.839532,Current residence
Taylor,Spivey,Triathlon,"Girona, Spain ",45.703006,-97.785936,Current residence
Jack,Yonezuka,Judo,"West Long Beach , New Jersey ",39.685675,-74.144859,Current residence
Sammy,Sullivan,Rugby,"Glendale , Colorado ",39.704987,-104.933591,Current residence
Dania,Vizzi,Shooting,"Odessa, Florida",28.193901,-82.591764,Current residence
Abbey,Weitzeil,Swimming,"Saugus, California",34.411385,-118.540086,Current residence
David,Smith,Volleyball,"Saugus, California",34.411385,-118.540086,Current residence
Sunny,Choi,Breaking,"Queens , New York ",40.654658,-73.841209,Current residence
Max,Holt,Volleyball,"Orange County, California",33.675687,-117.777207,Current residence
Annie,Drews,Volleyball,"Orange County , California",33.675687,-117.777207,Current residence
Brady,Ellison,Archery,"Globe, Arizona",33.566039,-110.757756,Current residence
Casey,Kaufhold,Archery,"Lancaster, Pennsylvania",40.076553,-76.31068,Current residence
Jennifer,Mucino-Fernandez,Archery,"Chula Vista, California ",32.636922,-117.050072,Current residence
Anita,Alvarez,Artistic Swimming,"Los Angeles, California ",33.973951,-118.248405,Current residence
Daniella,Ramirez,Artistic Swimming,"Los Angeles, California",33.973951,-118.248405,Current residence
Megumi,Field,Artistic Swimming,"Los Angeles, California",33.973951,-118.248405,Current residence
Jaime,Czarkowski,Artistic Swimming,"Los Angeles, California",33.973951,-118.248405,Current residence
Jacklyn,Luu,Artistic Swimming,"Palo Alto , California",37.444122,-122.149915,Current residence
Keana,Hunter,Artistic Swimming,"Los Angeles, California ",33.973951,-118.248405,Current residence
Jennie,Gai,Badminton,"Fremont, California",37.565285,-121.982721,Current residence
Beiwen,Zhang,Badminton,"Las Vegas, Nevada",36.17372,-115.10647,Current residence
Annie,Xu,Badminton,"San Jose, California",37.346608,-121.909871,Current residence
Kerry,Xu,Badminton,"San Jose, California",37.346608,-121.909871,Current residence
Vinson,Chiu,Badminton,"San Jose, California",37.346608,-121.909871,Current residence
Joshua,Yuan,Badminton,"San Mateo , California",37.573485,-122.32253,Current residence
Howard,Shu,Badminton,"Los Angeles, California",33.973951,-118.248405,Current residence
Canyon,Barry,Basketball 3x3,"Bradenton, Florida",27.404731,-82.470456,Current residence
Jimmer,Fredette,Basketball 3x3,"Denver, Colorado",39.760189,-104.996553,Current residence
Kareem,Maddox,Basketball 3x3,"Los Angeles, California",33.973951,-118.248405,Current residence
Dylan,Travis,Basketball 3x3,"Omaha, Nebraska",41.262003,-95.933564,Current residence
Cameron,Brink,Basketball 3x3,"Los Angeles, California",33.973951,-118.248405,Current residence
Bam,Adebayo,Basketball,"Miami , Florida",25.558428,-80.458168,Current residence
Devin,Booker,Basketball,"Phoenix , Arizona ",33.703967,-112.351835,Current residence
Stephen,Curry,Basketball,"San Francisco , California",37.776646,-122.417481,Current residence
Anthony,Davis,Basketball,"Los Angeles, California",33.973951,-118.248405,Current residence
Kevin,Durant,Basketball,"Phoenix , Arizona ",33.703967,-112.351835,Current residence
Anthony,Edwards,Basketball,"Minnesota , Minneapolis",44.984577,-93.269097,Current residence
Joel,Embiid,Basketball,"Philadelphia , Pennsylvania ",40.001811,-75.11787,Current residence
Tyrese,Haliburton,Basketball,"Indianapolis, Indiana ",39.775092,-86.13216,Current residence
Jrue,Holiday,Basketball,"Boston, Massachusetts",42.354318,-71.073449,Current residence
LeBron,James,Basketball,"Los Angeles, California",33.973951,-118.248405,Current residence
Kawhi,Leonard,Basketball,"Los Angeles, California",33.973951,-118.248405,Current residence
Jayson,Tatum,Basketball,"Boston, Massachusetts",42.354318,-71.073449,Current residence
Napheesa,Collier,Basketball,"Minneapolis, Minnesota ",44.984577,-93.269097,Current residence
Kahleah,Cooper,Basketball,"Phoenix , Arizona ",33.703967,-112.351835,Current residence
Chelsea,Gray,Basketball,"Las Vegas , Nevada ",36.17372,-115.10647,Current residence
Brittney,Griner,Basketball,"Phoenix , Arizona ",33.703967,-112.351835,Current residence
Sabrina,Ionescu,Basketball,"New York , New York ",40.750422,-73.996328,Current residence
Jewell,Loyd,Basketball,"Seattle , Washington ",47.610902,-122.336422,Current residence
Kelsey,Plum,Basketball,"Las Vegas , Nevada ",36.17372,-115.10647,Current residence
Breanna,Stewart,Basketball,"New York, New York ",40.750422,-73.996328,Current residence
Diana,Taurasi,Basketball,"Phoenix, Arizona",33.703967,-112.351835,Current residence
Alyssa,Thomas,Basketball,"Uncasville, Connecticut",41.43454,-72.1098,Current residence
A'ja,Wilson,Basketball,"Las Vegas, Nevada",36.17372,-115.10647,Current residence
Jackie,Young,Basketball,"Las Vegas, Nevada",36.17372,-115.10647,Current residence
Kelly,Cheng (nee Claes),Beach Volleyball,"Fullerton, California",33.879768,-117.896341,Current residence
Miles,Evans,Beach Volleyball,"Hermosa Beach, California ",33.86224,-118.39952,Current residence
Jahmal,Harvey,Boxing,"Oxon Hill, Maryland ",38.806809,-76.995859,Current residence
Omari,Jones,Boxing,"Orlando, Florida",28.545179,-81.373291,Current residence
Roscoe,Hill,Boxing,"Spring, Texas ",30.062169,-95.383966,Current residence
Alyssa,Mendoza,Boxing,"Caldwell , Idaho ",43.661908,-116.65629,Current residence
Jajaria,Gonzalez,Boxing,"Glendora , California ",34.119363,-117.855059,Current residence
Jennifer,Lozano,Boxing,"Laredo , Texas ",27.515879,-99.494078,Current residence
"Logan ""Logistx""",Edra,Breaking,"San Diego, California ",32.724103,-117.170912,Current residence
Victor,Montalvo,Breaking,"Los Angeles , California ",33.973951,-118.248405,Current residence
Evy,Leibfarth,Canoeing,"Charlotte, North Carolina ",35.26002,-80.804151,Current residence
Nevin,Harrison,Canoeing,"San Diego, California",32.724103,-117.170912,Current residence
Aaron,Small,Canoeing,"Seattle , Washington ",47.610902,-122.336422,Current residence
Casey,Eichfeld,Canoeing,"Charlotte, North Carolina ",35.26002,-80.804151,Current residence
Jonas,Ecker,Canoeing,"Seattle , Washington ",47.610902,-122.336422,Current residence
Alise,Willoughby,Cycling (BMX Racing),"Chula Vista , California ",32.636922,-117.050072,Current residence
Chloe,Dygert,Cycling (Road),"Colorado Springs, Colorado",38.828893,-104.809929,Current residence
Daleny,Vaughn,Cycling (BMX Racing),"Tucson , Arizona ",32.217975,-110.970869,Current residence
Felicia,Stancil,Cycling (BMX Racing),"Indianapolis, Indiana",39.775092,-86.13216,Current residence
Haley,Batten,Cycling (Mountain Bike),"Santa Crus, California",37.052748,-122.111126,Current residence
Hannah,Roberts,Cycling (BMX Freestyle),"Jacksonville, North Carolina ",34.754586,-77.507427,Current residence
Jennifer,Valente,Cycling (Track Cycling),"Colorado Springs, Colorado",38.828893,-104.809929,Current residence
Kristen,Faulkner,Cycling (Track Cycling),"San Francisco , California ",37.776646,-122.417481,Current residence
Perris,Benegas,Cycling (BMX Freestyle),"Fuquay Varina, North Carolina ",35.58432,-78.80001,Current residence
Riley,Amos,Cycling (Mountain Bike),"Durango, Colorado",37.318364,-107.880367,Current residence
Savilia,Blunk,Cycling (Mountain Bike),"Durango, Colorado",37.318364,-107.880367,Current residence
Taylor,Knibb,Cycling (Road),"Boulder, Colorado",40.049468,-105.201421,Current residence
Olivia,Cummins,Cycling (Track Cycling),"Grand Junction, Colorado",39.069019,-108.583126,Current residence
Brandon,McNulty,Cycling (Road),"Phoenix, Arizona",33.703967,-112.351835,Current residence
Cameron,Wood,Cycling (BMX Racing),"Phoenix, Arizona",33.703967,-112.351835,Current residence
Christopher,Blevins,Cycling (Mountain Bike),"San Luis Obisp, California ",35.265573,-120.62122,Current residence
Justin,Dowell,Cycling (BMX Freestyle),"Fuquay Varina, North Carolina ",35.58432,-78.80001,Current residence
Kamren,Larsen,Cycling (BMX Racing),"Oldsmar , Florida ",28.050324,-82.677379,Current residence
Magnus,Sheffield,Cycling (Road),"Andorra , Europe ",42.15363,-90.59235,Current residence
Marcus,Christopher,Cycling (BMX Freestyle),"Canton, Ohio",40.79979,-81.375811,Current residence
Matteo,Jorgenson,Cycling (Road),"Nice, France",39.12483,-122.85182,Current residence
Alison,Gibson,Diving,"Austin, Texas",30.268335,-97.741382,Current residence
Delaney,Schnell,Diving,"Tucson, Arizona",32.217975,-110.970869,Current residence
Kassidy,Cook,Diving,"Minneapolis, Minnestoa ",44.984577,-93.269097,Current residence
Jessica,Parratto,Diving,"Bloomington, Indiana",39.07881,-86.435094,Current residence
Sarah,Bacon,Diving,"Minneapolis, Minnestoa ",44.984577,-93.269097,Current residence
Andrew,Capobianco,Diving,"Bloomington , Indiana ",39.07881,-86.435094,Current residence
Carson,Tyler,Diving,"Bloomington , Indiana ",39.07881,-86.435094,Current residence
Greg,Duncan,Diving,"West Lafayette , Indiana",40.467303,-86.928132,Current residence
Tyler,Downs,Diving,"Ballwin, Missouri",38.609102,-90.559763,Current residence
Boyd,Martin,Equestrian (Eventing),"Cochranville, Pennslyvania ",39.916517,-75.925805,Current residence
Will,Coleman,Equestrian (Eventing),"Ocala , Florida ",29.198907,-82.087425,Current residence
Lee,Kiefer,Fencing,"Lexington, Kentucky",38.016674,-84.486043,Current residence
Anne,Cebula,Fencing,"New York, New York",40.750422,-73.996328,Current residence
Margherita,Guzzi Vincenti,Fencing,"Hartland , Wisconsin",43.123679,-88.336087,Current residence
Eli,Dershwitz,Fencing,"Sherborn, Massachusetts",42.23899,-71.36978,Current residence
Nick,Itkin,Fencing,"South Bend, Indiana",41.673383,-86.251654,Current residence
Alexander,Massialas,Fencing,"San Francisco, California",37.776646,-122.417481,Current residence
Jackie,Dubrovich,Fencing,"Maplewood, New Jersey",40.7291,-74.266541,Current residence
Lauren,Scruggs,Fencing,"Cambridge, Massachusetts",42.380442,-71.132947,Current residence
Tatiana,Nazlymov,Fencing,"Princeton, New Jersey",40.343625,-74.693953,Current residence
Magda,Skarbonkiewicz,Fencing,"Portland, Oregon",45.507856,-122.690794,Current residence
Gerek,Meinhardt,Fencing,"Lexington, Kentucky",38.016674,-84.486043,Current residence
Kat,Holmes,Fencing,"New York , New York ",40.750422,-73.996328,Current residence
Maia,Weintraub,Fencing,"New York , New York ",40.750422,-73.996328,Current residence
Miles,Chamley-Watson,Fencing,"University Park , Pennsylvania ",40.799672,-77.862339,Current residence
Filip,Dolegiewicz,Fencing,"Boston , Massachusetts ",42.354318,-71.073449,Current residence
Kelsey,Bing,Field Hockey,"Santa Clara , California ",37.351158,-121.952295,Current residence
Leah,Crouse,Field Hockey,"Spring City , Pennsylvania ",40.17677,-75.54769,Current residence
Brooke,DeBerdine,Field Hockey,"Spring City , Pennsylvania ",40.17677,-75.54769,Current residence
Emma,DeBerdine,Field Hockey,"Spring City , Pennsylvania ",40.17677,-75.54769,Current residence
Phia,Gladieux,Field Hockey,"Conshohocken, Pennsylvania ",40.082509,-75.304377,Current residence
Amanda,Golini,Field Hockey,"Conshohocken, Pennsylvania ",40.082509,-75.304377,Current residence
Ally,Hammel,Field Hockey,"Duxbury , Massachusetts ",41.970474,-70.701357,Current residence
Ashley,Hoffman,Field Hockey,"Conshohocken, Pennsylvania ",40.082509,-75.304377,Current residence
Karlie,Kisha,Field Hockey,"Villanova , Pennsylvania ",40.027909,-75.369458,Current residence
Kelee,Lepage,Field Hockey,"Charlotte, North Carolina ",35.26002,-80.804151,Current residence
Ashley,Sessa,Field Hockey,"Evanston , Illinois",42.049148,-87.702155,Current residence
Meredith,Sholder,Field Hockey,"Chapel Hill , North Carolina ",36.004647,-79.054475,Current residence
Abby,Tamer,Field Hockey,"Ann Arbor , Michigan ",42.266638,-83.849042,Current residence
Megan,Valzonis,Field Hockey,"Berkeley , California ",37.864425,-122.28713,Current residence
Beth,Yeager,Field Hockey,"Princeton , New Jersey",40.343625,-74.693953,Current residence
Maddie,Zimmer,Field Hockey,"Evanston , Illinois",42.049148,-87.702155,Current residence
Nelly,Korda,Golf,"Bradenton, Florida",27.404731,-82.470456,Current residence
Lilia,Vu,Golf,"Fountain Valley , California ",33.710582,-117.951129,Current residence
Rose,Zhang,Golf,"Stanford , California ",37.42509,-122.1675,Current residence
Collin,Morikawa,Golf,"Las Vegas, Nevada",36.17372,-115.10647,Current residence
Scottie,Scheffler,Golf,"Dallas , Texas",32.781179,-96.790329,Current residence
Wyndham,Clark,Golf,"Scottsdale , Arizona",33.534451,-111.887354,Current residence
Xander,Schauffele,Golf,"Jupiter , Florida ",26.936558,-80.131851,Current residence
Evita,Griskenas,Rhythmic Gymnastics,"New York, New York",40.750422,-73.996328,Current residence
Kara,Kohler,Rowing,"Austin, Texas",30.268335,-97.741382,Current residence
William,Bender,Rowing,"Norwich , Vermont",43.717918,-72.3612,Current residence
Charlotte,Buck,Rowing,"Princeton, New Jersey",40.343625,-74.693953,Current residence
Molly,Bruggeman,Rowing,"Princeton, New Jersey",40.343625,-74.693953,Current residence
Nina,Casatagna,Rowing,"Princeton, New Jersey",40.343625,-74.693953,Current residence
Olivia,Coffey,Rowing,"Princeton, New Jersey",40.343625,-74.693953,Current residence
Claire,Collins,Rowing,"Princeton, New Jersey",40.343625,-74.693953,Current residence
Emily,Kallfelz,Rowing,"Jamestown, Rhode Island",41.51412,-71.377247,Current residence
Kaitlin,Knifton,Rowing,"Austin, Texas",30.268335,-97.741382,Current residence
Meghan,Musnicki,Rowing,"San Francisco, California",37.776646,-122.417481,Current residence
Molly,Reckford,Rowing,"Menlo Park , California",37.439616,-122.186373,Current residence
Regina,Salmons,Rowing,"Princeton, New Jersey",40.343625,-74.693953,Current residence
Michelle,Sechser,Rowing,"Portsmouth, New Hampshire",43.074812,-70.805443,Current residence
Kristi,Wagner,Rowing,"Saratoga Springs, New York",43.08313,-73.78457,Current residence
Madeleine,Wanamaker,Rowing,"Princeton, New Jersey",40.343625,-74.693953,Current residence
Justin,Best,Rowing,"Oakland, California",37.786027,-122.223779,Current residence
Liam,Corrigan,Rowing,"San Francisco, California",37.776646,-122.417481,Current residence
Michael,Grady,Rowing,"Oakland, California",37.786027,-122.223779,Current residence
Nick,Mead,Rowing,"New York, New York",40.750422,-73.996328,Current residence
Jacob,Plihal,Rowing,"Seattle, Washington",47.610902,-122.336422,Current residence
Sorin,Koszyk,Rowing,"Oakland , California",37.786027,-122.223779,Current residence
Clark,Dean,Rowing,"Oakland, California",37.786027,-122.223779,Current residence
Pieter,Quinton,Rowing,"Oakland, California",37.786027,-122.223779,Current residence
Jessia,Thoennes,Rowing,"Denver , Colorado",39.760189,-104.996553,Current residence
Kayla,Canett,Rugby,"Los Angeles , California ",33.973951,-118.248405,Current residence
Lauren,Doyle,Rugby,"Chicago , Illinois ",41.88531,-87.62213,Current residence
Alev,Kelter,Rugby,"Los Angeles , California",33.973951,-118.248405,Current residence
Sarah,Levy,Rugby,"New York, New York ",40.750422,-73.996328,Current residence
Ilona,Maher,Rugby,"Los Angeles , California",33.973951,-118.248405,Current residence
Alena,Olsen,Rugby,"Los Angeles , California ",33.973951,-118.248405,Current residence
Ariana,Ramsey,Rugby,"Philadelphia , Pennsylvania ",40.001811,-75.11787,Current residence
Steph,Rovetti,Rugby,"San Diego, California",32.724103,-117.170912,Current residence
Spiff,Sedrick,Rugby,"Los Angeles , California ",33.973951,-118.248405,Current residence
Naya,Tapper,Rugby,"San Diego, California",32.724103,-117.170912,Current residence
Daniela,Moroz,Sailing,"San Francisco, California",37.776646,-122.417481,Current residence
Lara,Dallman-Weiss,Sailing,"Miami, Florida",25.558428,-80.458168,Current residence
Erika,Reineke,Sailing,"Fort Lauderdale, Florida",26.121323,-80.127909,Current residence
Dominique,Stater,Sailing,"Miami, Florida",25.558428,-80.458168,Current residence
Stephanie,Roble,Sailing,"Miami, Florida",25.558428,-80.458168,Current residence
Maggie,Shea,Sailing,"Chicago , Illinois",41.88531,-87.62213,Current residence
Sarah,Newberry Moore,Sailing,"Miami, Florida",25.558428,-80.458168,Current residence
Stu,McNay,Sailing,"Providence , Rhode Island",41.81835,-71.424851,Current residence
Hans,Henken,Sailing,"San Francisco, California",37.776646,-122.417481,Current residence
Ian,Barrows,Sailing,"St. Thomas, U.S. Virgin Islands",18.342908,-64.9189,Current residence
Noah,Lyons,Sailing,"Clearwater , Florida",27.978147,-82.781523,Current residence
Markus,Edegran,Sailing,"Clearwater , Florida",27.978147,-82.781523,Current residence
David,Liebenberg,Sailing,"Miami, Florida",25.558428,-80.458168,Current residence
Katelyn,Abeln,Shooting,"Douglasville , Georgia",33.759543,-84.777337,Current residence
Alexis,Lagan,Shooting,"Boulder City, Nevada",36.020563,-114.82952,Current residence
Sagen,Maddalena,Shooting,"Fort Benning, Georgia",32.392337,-84.931457,Current residence
Mary,Tucker,Shooting,"Sarasota, Florida",27.335023,-82.537169,Current residence
Ryann,Phillips,Shooting,"Corpus Christi, Texas",27.797802,-97.399067,Current residence
Austen,Smith,Shooting,"Keller, Texas",32.928037,-97.283914,Current residence
Ada,Khorkin,Shooting,"Brookline , Massachusetts ",42.308198,-71.088745,Current residence
Vincent,Hancock,Shooting,"Fort Worth, Texas",32.771419,-97.291484,Current residence
Derrick,Mein,Shooting,"Marengo, Ohio",40.406317,-82.782091,Current residence
Conner,Prince,Shooting,"Burleson, Texas",32.492683,-97.264359,Current residence
Keith,Sanderson,Shooting,"Seattle, Washington",47.610902,-122.336422,Current residence
Henry,Leverett,Shooting,"Vienna , Austria ",38.897361,-77.253749,Current residence
Chris,Joslin,Skateboarding,"Hawaiian Gardens, California",33.830967,-118.072796,Current residence
Gavin,Bottger,Skateboarding,"Oceanside , California",33.195534,-117.354538,Current residence
Jagger,Eaton,Skateboarding,"Los Angeles, California",33.973951,-118.248405,Current residence
Nyjah,Huston,Skateboarding,"Laguna Beach, California",33.520941,-117.741315,Current residence
Tate,Carew,Skateboarding,"San Diego , California",32.724103,-117.170912,Current residence
Tom,Schaar,Skateboarding,"San Diego , California",32.724103,-117.170912,Current residence
Bryce,Wettstein,Skateboarding,"Encinitas, California",33.016928,-116.846046,Current residence
Mariah,Duran,Skateboarding,"Albuquerque, New Mexico",35.199592,-106.644831,Current residence
Minna,Stess,Skateboarding,"Petaluma, California",38.265366,-122.822588,Current residence
Paige,Heyn,Skateboarding,"Tempe, Arizona ",33.401395,-111.931298,Current residence
Poe,Pinson,Skateboarding,"Fernandina Beach , Florida ",30.609692,-81.49172,Current residence
Ruby,Lilley,Skateboarding,"Oceanside , California ",33.195534,-117.354538,Current residence
Brooke,Raboutou,Sport Climbing,"Boulder, Colorado",40.049468,-105.201421,Current residence
Emma,Hunt,Sport Climbing,"Woodstock, Georgia",34.127398,-84.481787,Current residence
Natalia,Grossman,Sport Climbing,"Salt Lake City, Utah",40.756095,-111.900719,Current residence
Piper,Kelly,Sport Climbing,"Salt Lake City, Utah",40.756095,-111.900719,Current residence
Jesse,Grupper,Sport Climbing,"Salt Lake City, Utah",40.756095,-111.900719,Current residence
Samuel,Watson,Sport Climbing,"Dallas, Texas",32.781179,-96.790329,Current residence
Zach,Hammer,Sport Climbing,"Ann Arbor, Michigan",42.266638,-83.849042,Current residence
Griffin,Colapinto,Surfing,"San Clemente, California",33.42362,-117.606843,Current residence
Caitlin,Simmers,Surfing,"Oceanside, California",33.195534,-117.354538,Current residence
Carissa,Moore,Surfing,"Honolulu, Hawaii",21.316548,-157.845053,Current residence
Caroline,Marks,Surfing,"San Clemente, California ",33.42362,-117.606843,Current residence
Aaron,Shackell,Swimming,"Carmel, Indiana",39.962604,-86.174761,Current residence
Blake,Pieroni,Swimming,"Bloomington, Indiana",39.07881,-86.435094,Current residence
Bobby,Finke,Swimming,"Clearwater, Florida",27.978147,-82.781523,Current residence
Brooks,Curry,Swimming,"Berkeley , California ",37.864425,-122.28713,Current residence
Caeleb,Dressel,Swimming,"Micanopy, Florida",29.50469,-82.27982,Current residence
Carson,Foster,Swimming,"Austin, Texas",30.268335,-97.741382,Current residence
Charlie,Swanson,Swimming,"Ann Arbor, Michigan ",42.266638,-83.849042,Current residence
Chase,Kalisz,Swimming,"Los Angeles , California ",33.973951,-118.248405,Current residence
Chris,Guiliano,Swimming,"Chicago , Illinois ",41.88531,-87.62213,Current residence
Drew,Kibler,Swimming,"Scottsdale , Arizona ",33.534451,-111.887354,Current residence
Hunter,Armstrong,Swimming,"Dover, Ohio",40.52062,-81.47401,Current residence
Jack,Alexy,Swimming,"Berkeley, California ",37.864425,-122.28713,Current residence
Josh,Matheny,Swimming,"Bloomington , Indiana",39.07881,-86.435094,Current residence
Keaton,Jones,Swimming,"Berkeley, California ",37.864425,-122.28713,Current residence
Kieran,Smith,Swimming,"Gainesville, Florida",29.648993,-82.324515,Current residence
Luca,Urlando,Swimming,"Sacramento , California ",38.377411,-121.444429,Current residence
Luke,Hobson,Swimming,"Austin, Texas",30.268335,-97.741382,Current residence
Luke,Whitlock,Swimming,"Fishers, Indiana",39.95559,-86.01387,Current residence
Matt,Fallon,Swimming,"Philadelphia , Pennsylvania",40.001811,-75.11787,Current residence
Nic,Fink,Swimming,"Athens, Georgia",33.992902,-83.353697,Current residence
Ryan,Murphy,Swimming,"Berkeley, California ",37.864425,-122.28713,Current residence
Thomas,Heilman,Swimming,"Charlottesville , Virginia",38.026588,-78.48045,Current residence
Alex,Shackell,Swimming,"Carmel, Indiana",39.962604,-86.174761,Current residence
Alex,Walsh,Swimming,"Charlottesville, Virginia",38.026588,-78.48045,Current residence
Claire,Weinstein,Swimming,"Las Vegas, Nevada",36.17372,-115.10647,Current residence
Emma,Weber,Swimming,"Charlottesville , Virginia",38.026588,-78.48045,Current residence
Emma,Weyant,Swimming,"Gainesville, Florida",29.648993,-82.324515,Current residence
Erika,Connolly (formerly Brown),Swimming,"Knoxville, Tennessee",36.032334,-83.884804,Current residence
Erin,Gemmell,Swimming,"Austin, Texas",30.268335,-97.741382,Current residence
Gretchen,Walsh,Swimming,"Charlottesville , Virginia",38.026588,-78.48045,Current residence
Kate,Douglass,Swimming,"Pelham, New York",40.904538,-73.806277,Current residence
Katharine,Berkoff,Swimming,"Missoula, Montana",46.856398,-114.014338,Current residence
Katie,Grimes,Swimming,"Las Vegas, Nevada",36.17372,-115.10647,Current residence
Katie,Ledecky,Swimming,"Gainesville, Florida ",29.648993,-82.324515,Current residence
Lilly,King,Swimming,"Bloomington, Indiana",39.07881,-86.435094,Current residence
Mariah,Denigan,Swimming,"Bloomington , Indiana ",39.07881,-86.435094,Current residence
Paige,Madden,Swimming,"Mobile, Alabama",30.701142,-88.103184,Current residence
Phoebe,Bacon,Swimming,"Chevy Chase, Maryland",38.983759,-77.079449,Current residence
Regan,Smith,Swimming,"Lakeville, Minnesota",44.633421,-93.25812,Current residence
Simone,Manuel,Swimming,"Mountain View, California",37.189396,-121.705327,Current residence
"Victoria ""Torri""",Huske,Swimming,"Arlington , Virginia",38.885484,-77.099113,Current residence
Lily,Zhang,Table Tennis,"Redwood City, California",37.462158,-122.235639,Current residence
Kanak,Jha,Table Tennis,"Milipitas, California",37.436454,-121.861989,Current residence
CJ,Nickolas,Taekwondo,"Charlotte, North Carolina",35.26002,-80.804151,Current residence
Faith,Dillon,Taekwondo,"Las Vegas, Nevada",36.17372,-115.10647,Current residence
Kristina,Teachout,Taekwondo,"Colorado Springs , Colorado ",38.828893,-104.809929,Current residence
