QUALIFIED,,UPDATED,NAME,GENDER,SPORT,BIRTHPLACE,STATION,HOMETOWN,STATION,CURRENT RESIDENCE,STATION,SCHOOL,STATION,CLUB/PRO TEAM,STATION,OLYMPIC TEAMS,OLYMPIC MEDALS,TWITTER/X URL,INSTAGRAM URL,TIKTOK URL,DRUPAL TAGS
,,X,Zoe Kalapos,F,Snowboarding (Halfpipe),"Beverly Hills, MI",WDIV,"Vail, CO",KUSA,"Avon, CO",KUSA,,,,,2022,,https://x.com/zoekalapos,https://www.instagram.com/zoe_kalapos/,,
,,X,Cody Winters,M,Snowboarding (Parallel Giant Slalom),"Steamboat Springs, CO",KUSA,"Steamboat Springs, CO",KUSA,"Steamboat Springs, CO",KUSA,,,,,2022,,,https://www.instagram.com/_cody_winters_/,,
,,X,Robby Burns,M,Snowboarding (Parallel Giant Slalom),"Mount Shasta, CA",KNVN,"Mount Shasta, CA",KNVN,"Steamboat Springs, CO",KUSA,,,,,2022,,,https://www.instagram.com/robby.burns.snowboarding/,,
,,X,Chris Corning,M,Snowboarding (Slopestyle/Big Air),"Silverthorne, CO",KUSA,"Silverthorne, CO",KUSA,"Aspen, CO",KUSA,,,Aspen Valley Ski & Snowboard Club,KUSA,"2018, 2022",,https://x.com/chris_corning10?,https://www.instagram.com/chriscorning/,,
,,X,Ollie Martin,M,Snowboarding (Slopestyle/Big Air),"Wellington, New Zealand",,"Wolcott, CO",KUSA,"Wolcott, CO",KUSA,,,Ski & Snowboard Club Vail,KUSA,,,,https://www.instagram.com/olliejamesmartin/?hl=en,,
,,X,Judd Henkes,M,Snowboarding (Slopestyle/Big Air),"La Jolla, CA",KNSD,"La Jolla, CA",KNSD,"Mammoth Lakes, CA",KUSA,,,Mammoth Mountain Snowboard Team,KUSA,,,,https://www.instagram.com/juddhenkes/?hl=en,,
,,X,Brooklyn DePriest,M,Snowboarding (Slopestyle/Big Air),"Rocklin, CA",KCRA,"Rocklin, CA",KCRA,"Vail, CO",KUSA,,,Ski & Snowboard Club Vail,KUSA,,,,https://www.instagram.com/brooklyn_depriest/?hl=en,,
,,X,Jake Canter,M,Snowboarding (Slopestyle/Big Air),"Denver, CO ",KUSA,"Silverthorne, CO",KUSA,"Aspen, CO",KUSA,,,Aspen Valley Ski & Snowboard Club,KUSA,,,,https://www.instagram.com/jakecanterr/?hl=en,,
,,X,Dusty Henricksen,M,Snowboarding (Slopestyle/Big Air),"Big Bear Lake, CA",KNBC,"Mammoth Lakes, CA",KCRA,"Mammoth Lakes, CA",KCRA,,,Mammoth Mountain Snowboard Team,KCRA,2022,,,https://www.instagram.com/dustyhenricksen/,,
,,X,Red Gerard,M,Snowboarding (Slopestyle/Big Air),"Cleveland, OH",WKYC,"Silverthorne, CO",KUSA,"Silverthorne, CO",KUSA,,,,,"2018, 2022",1 gold,,https://www.instagram.com/redgerard/,,
,,X,Sean FitzSimons,M,Snowboarding (Slopestyle/Big Air),"Hood River, OR",KGW,"Hood River, OR",KGW,"Hood River, OR",KGW,,,,,2022,,,https://www.instagram.com/seanfitzsimons/,,
,,X,Lily Dhawornvej,F,Snowboarding (Slopestyle/Big Air),"Frisco, CO",KUSA,"Frisco, CO",KUSA,"Vail, CO",KUSA,,,Ski & Snowboard Club Vail,KUSA,,,,https://www.instagram.com/mslildice/?hl=en,,
,,X,Courtney Rummel,F,Snowboarding (Slopestyle/Big Air),"Mequon, WI",WTMJ,"West Bend, WI",WTMJ,"Park City, UT",KSL,,,,,2022,,,https://www.instagram.com/courtneyyrummel/,,
,,X,Hailey Langland,F,Snowboarding (Slopestyle/Big Air),"Irvine, CA",KNBC,"San Clemente, CA",WNBC,"San Clemente, CA",WNBC,,,Tahoe Select Snowboard Team,KCRA / KRNV,"2018, 2022",,,https://www.instagram.com/haileylangland/,,
,,X,Jamie Anderson,F,Snowboarding (Slopestyle/Big Air),"South Lake Tahoe, CA",KCRA / KRNV,"South Lake Tahoe, CA",KCRA / KRNV,"South Lake Tahoe, CA",KCRA / KRNV,,,Sierra at Tahoe Education Foundation,KCRA / KRNV,"2014, 2018, 2022","2 gold, 1 silver",https://x.com/jamieasnow,https://www.instagram.com/jamieanderson/,,
,,X,Julia Marino,F,Snowboarding (Slopestyle/Big Air),"Brooklyn, NY",WNBC,"Westport, CT",WNBC,"Breckenridge, CO",KUSA,,,,,"2018, 2022",1 silver,,https://www.instagram.com/_juliamarino/,,
,,X,Hagen Kearney,M,Snowboarding (Snowboard Cross),"Buffalo, NY",WGRZ,"Telluride, CO",KKCO,"Park City, UT",KSL,,,International Snowboard Training Center,KSL,"2018, 2022",,https://x.com/hagenkearney,https://www.instagram.com/hagenkearney/?hl=en,,
,,X,Jake Vedder,M,Snowboarding (Snowboard Cross),"Pinckney, MI",WDIV,"Pinckney, MI",WDIV,"Park City, UT",KSL,,,International Snowboard Training Center,KSL,2022,,,https://www.instagram.com/jake_vedder/,,
,,X,Nick Baumgartner,M,Snowboarding (Snowboard Cross),"Iron River, MI",WLUC,"Iron River, MI",WLUC,"Iron River, MI",WLUC,,,,,"2010, 2014, 2018",1 gold,https://x.com/nickbaumgartner,https://www.instagram.com/nickbaumgartner/,,
,,X,Faye Thelen (née Gulini),F,Snowboarding (Snowboard Cross),"Salt Lake City, UT",KSL,"Salt Lake City, UT",KSL,"Vail, CO",KUSA,Westminster College,KSL,Ski & Snowboard Club Vail,KUSA,"2010, 2014, 2018, 2022",,https://x.com/FayeGulini,https://www.instagram.com/fayegulini/,,
,,X,Meghan Tierney,F,Snowboarding (Snowboard Cross),"Long Branch, NJ",WNBC,"Eagle, CO",KUSA,"Eagle, CO",KUSA,,,International Snowboard Training Center Boardstars Race Team,KUSA,"2018, 2022",,,https://www.instagram.com/meghantierney/,,
,,X,Stacy Gaskill,F,Snowboarding (Snowboard Cross),"Golden, CO",KUSA,"Golden, CO",KUSA,"Golden, CO",KUSA,University of Colorado Boulder,KUSA,,,2022,,https://x.com/gaskill_stacy,https://www.instagram.com/stacy_gaskill/,,
,,X,Austin Kleba,M,Speed Skating,"Campton Hills, IL",WMAQ,"Campton Hills, IL",WMAQ,"Salt Lake City, UT",KSL,,,Glen Ellyn Speed Skating Club,WMAQ,2022,,https://x.com/austinkleba?lang=en,https://www.instagram.com/austinkleba/?hl=en,,
,,X,Casey Dawson,M,Speed Skating,"Park City, UT",KSL,"Park City, UT",KSL,"Salt Lake City, UT",KSL,University of Utah,KSL,Park City Speedskating Club,KSL,2022,1 bronze,,https://www.instagram.com/caseydawson11/?hl=en,,
,,X,Emery Lehman,M,Speed Skating,"Chicago, IL",WMAQ,"Oak Park, IL",WMAQ,"Oak Park, IL",WMAQ,Marquette University,WTMJ,Franklin Park Speedskating Club,WMAQ,"2014, 2018, 2022",1 bronze,https://x.com/TheEmeryLehman,https://www.instagram.com/emerylehman/,,
,,X,Ethan Cepuran,M,Speed Skating,"Glen Ellyn, IL",WMAQ,"Glen Ellyn, IL",WMAQ,"Glen Ellyn, IL",WMAQ,University of Utah,,Glen Ellyn Speed Skating Club,WMAQ,2022,1 bronze,https://x.com/ecepuran?lang=en,https://www.instagram.com/ethancep11/?hl=en,,
,,X,Joey Mantia,M,Speed Skating,"Ocala, FL",WESH,"Ocala, FL",WESH,"Salt Lake City, UT",KSL,,,,,"2014, 2018, 2022",1 bronze,https://x.com/jrmantia,https://www.instagram.com/joeymantia/,,
,,X,Jordan Stolz,M,Speed Skating,"West Bend, WI",WTMJ,"Kewaskum, WI",WTMJ,"Kewaskum, WI",WTMJ,,,Badger Speed Skating Club,WTMJ,2022,,,https://www.instagram.com/stolz_jordan_/,,
,,X,Brittany Bowe,F,Speed Skating,"Ocala, FL",WESH,"Ocala, FL",WESH,"Salt Lake City, UT",KSL,Florida Atlantic University,WPTV,,,"2014, 2018, 2022",2 bronze,https://x.com/brittanybowe,https://www.instagram.com/brittanybowe/?hl=en,,
,,X,Erin Jackson,F,Speed Skating,"Ocala, FL",WESH,"Ocala, FL",WESH,"Salt Lake City, UT",KSL,University of Florida,WNBW,Ocala Speed,WESH,"2018, 2022",1 gold,https://x.com/erinjackson480,https://www.instagram.com/speedyj/,,
,,X,Giorgia Birkeland,F,Speed Skating,"White Bear Lake, MN",KARE,"White Bear Lake, MN",KARE,"Salt Lake City, UT",KSL,Salt Lake Community College,KSL,Midway Speedskating Club,,2022,,,https://www.instagram.com/birkeland.giorgia/?hl=en,,
,,X,Kimi Goetz,F,Speed Skating,"Flemington, NJ",WNBC,"Flemington, NJ",WNBC,"Salt Lake City, UT",KSL,Dartmouth College,WPTZ,,,2022,,,https://www.instagram.com/kimigoetz/?hl=en,,
,,X,Mia Manganello Kilburg,F,Speed Skating,"Crestview, FL",WJHG,"Crestview, FL",WJHG,"Salt Lake City, UT",KSL,,,,,"2018, 2022",1 bronze,,https://www.instagram.com/mnmango89/?hl=en,,
