QUALIFIED,,UPDATED,NAME,GENDER,SPORT,BIRTHPLACE,STATION,HOMETOWN,STATION,CURRENT RESIDENCE,STATION,SCHOOL,STATION,CLUB/PRO TEAM,STATION,OLYMPIC TEAMS,OLYMPIC MEDALS,TWITTER/X URL,INSTAGRAM URL,TIKTOK URL,DRUPAL TAGS
,,X,Danny Casper,Male,Curling,"Briarcliff Manor, NY ",WNBC,"Briarcliff Manor, NY ",WNBC,"Minneapolis, MN",KARE ,University of Minnesota ,KARE,Ardsley Curling Club ,WNBC,,,,https://www.instagram.com/danny_casper_/?hl=en,,X
X,,X,Korey Dropkin,Male,Curling,"Boston, MA ",WBTS,"Southborough, MA",WBTS,"Duluth, MN ",KBJR,University of Minnesota Duluth,KBJR,Broomstones Curling Club / Duluth Curling Club ,WBTS / KBJR ,,,Korey Dropkin (@koreydropkin) / X,https://www.instagram.com/koreydropkin/?hl=en,,X
X,,X,Cory Thiesse,Female,Curling,"Duluth, MN ",KBJR,"Duluth, MN ",KBJR,"Duluth, MN ",KBJR,University of Minnesota Duluth,KBJR,St. Paul Curling Club / Duluth Curling Club ,KARE / KBJR,2018,,,https://www.instagram.com/corychristensen7/?hl=en,,X
X,,X,Tabitha Peterson,Female,Curling,"Burnsville, MN",KARE,"Burnsville, MN",KARE,"Minneapolis, MN",KARE ,University of Minnesota ,KARE ,St. Paul Curling Club ,KARE,"2018, 2022",,Tabitha Peterson (@tabcurl) / X,https://www.instagram.com/tabcurl/?hl=en,,X
X,,X,Tara Peterson,Female,Curling,"Burnsville, MN",KARE,"Eagan, MN",KARE,"Minneapolis, MN",KARE ,University of Minnesota ,KARE ,St. Paul Curling Club ,KARE,,,https://x.com/taraissupercoo1,https://www.instagram.com/taraissupercool/?hl=en,https://www.tiktok.com/@Taraissupercool,
X,,X,Taylor Anderson-Heide,Female,Curling,"Philadelphia, PA",WCAU,"Minneapolis, MN",KARE,"Minneapolis, MN",KARE ,University of Minnesota ,KARE,,,,,,https://www.instagram.com/TaylorAA15,https://www.tiktok.com/@TaylorAA15,
X,,X,Aileen Geving,Female,Curling,"Duluth, MN ",KBJR,"Duluth, MN ",KBJR,"Duluth, MN ",KBJR,University of Minnesota Duluth,KBJR,Duluth Curl,,"2018, 2022",,,https://www.instagram.com/aileencurls,,
X,,X,Danny Casper,Male,Curling,"Briarcliff Manor, NY ",WNBC,"Briarcliff Manor, NY ",WNBC,"Minneapolis, MN",KARE ,University of Minnesota ,KARE,Chaska Curling Club,,,,,https://www.instagram.com/danny_casper_,,
X,,X,Aidan Oldenburg,Male,Curling,"Mapleton, MN",KARE,"Mapleton, MN",KARE,"Mapleton, MN",KARE ,"Minnesota State University, Mankato",KMNF,Chaska Curling Club,KARE ,,,,,,
X,,X,Ben Richardson,Male,Curling,"Miami, FL",WTVJ,"Miami, FL",WTVJ,"Minneapolis, MN",KARE ,Cleveland Institute of Music,WKYC,,,,,,https://www.instagram.com/curlingcelloguy/,https://www.tiktok.com/@curlingcelloguy,
,,,Luc Violette,Male,Curling,"Seattle, WA",KING,"Edmonds, WA",KING,,,,,,,,,,,,
,,X,Alex Shibutani,Male,Figure Skating,"Boston, MA ",WBTS,"Greenwich, CT / Ann Arbor, MI ",WDIV,,,,,SC of New York ,WNBC,"2014, 2018 ",2 bronze,Alex Shibutani (@AlexShibutani) / X,https://www.instagram.com/alexshibutani/?hl=en,Alex Shibutani (@alexshibutani) | TikTok,X
,,X,Andrew Torgashev,Male,Figure Skating,"Coral Springs, FL",WTVJ,"Coral Springs, FL",WTVJ,"Irvine, CA ",KNBC,,,Panthers FSC ,WTVJ,,,Torg (@andrewtorg29) / X,https://www.instagram.com/andrewtorg,Torg (@andrewtorg) | TikTok,X
,,X,Anthony Ponomarenko,Male,Figure Skating,"San Jose, CA ",KNTV,"Northville, MI",WDIV,"London, Ontario / Montreal",,,,SC of San Francisco / SC of New York ,KNTV / WNBC,,,,https://www.instagram.com/anthony.ponomarenko,,X
,,X,Balazs Nagy,Male,Figure Skating,"Budapest, Hungary ",,"Budapest, Hungary ",,"Oakville, Ontario",,,,SC of New York ,WNBC,,,,https://www.instagram.com/nagybalu,Balázs Nagy (@nagybalazsl) | TikTok,X
,,X,Camden Pulkinen,Male,Figure Skating,"Scottsdale, AZ",KPNX,"Mesa, AZ ",KPNX,"New York, NY",WNBC,,,SC of New York ,WNBC,,,Camden Pulkinen (@CamdenPulk) / X,https://www.instagram.com/campulk/?hl=en,Camden Pulkinen (@campulk) | TikTok,X
,,X,Daniil Parkman,Male,Figure Skating,"Saint Petersburg, Russia",,"Saint Petersburg, Russia",,"Irvine, CA",KNBC,,,SC of New York ,WNBC,,,,https://www.instagram.com/daniilparkman/?hl=en,,X
,,X,Danny O'Shea,Male,Figure Skating,"Pontiac, MI",WDIV,"Colorado Springs, CO",KOAA,"Colorado Springs, CO",KOAA,,,SC of New York ,WNBC,,,Danny O'Shea (@doshea213) / X,https://www.instagram.com/dannyoshea213/,Danny O'shea (@dannyoshea213) | TikTok,X
,,X,Evan Bates,Male,Figure Skating,"Ann Arbor, MI",WDIV,"Ann Arbor, MI",WDIV,Montreal,,University of Michigan ,WDIV ,Ann Arbor FSC ,WDIV,"2010, 2014, 2018, 2022 ",1 gold,Evan Bates (@Evan_Bates) / X,https://www.instagram.com/evan_bates/?hl=en,,X
,,X,Ilia Malinin,Male,Figure Skating,"Fairfax, VA",WRC,"Vienna, VA",WRC,"Vienna, VA",WRC,George Mason University ,WRC,Washington Figure Skating Club,WRC,,,Ilia Malinin (@the_quadg0d) / X,https://www.instagram.com/ilia_quadg0d_malinin/?hl=en,QuadGod (@ilia_quadg0d_malinin) | TikTok,X
,,X,Jason Brown,Male,Figure Skating,"Los Angeles, CA",KNBC,"Highland Park, IL ",WMAQ ,Toronto,,University of Colorado - Colorado Springs ,KOAA ,Skokie Valley Skating Club ,WMAQ,"2014, 2022 ",1 bronze,Jason Brown (@jasonbskates) / X,https://www.instagram.com/jasonbskates/?hl=en,Jason Brown (@jasonbskates) | TikTok,X
,,X,Maxim Naumov,Male,Figure Skating,"Hartford, CT",WVIT,"Simsbury, CT ",WVIT,"Norwood, MA",WBTS,,,SC of Boston,WBTS,,,,https://www.instagram.com/maximnaumov_/?hl=en,,X
,,X,Michael Parsons,Male,Figure Skating,"Wheaton, MD",WRC,"Derwood, MD ",WRC ,"Canton, MI",WDIV,Montgomery College,WRC ,Washington FSC ,WRC,,,,https://www.instagram.com/michaelap95/?hl=en,,X
,,X,Misha Mitrofanov,Male,Figure Skating,"Madison, WI",WMTV,"Plano, TX",KXAS,"Norwood, MA",WBTS,University of Texas at Dallas ,KXAS,Dallas FSC Plano / SC of Boston,KXAS / WBTS,,,,https://www.instagram.com/misha_mitrofanov97/?hl=en,,X
,,X,Spencer Howe,Male,Figure Skating,"Burbank, CA",KNBC,"Los Angeles, CA ",KNBC,"Norwood, MA",WBTS ,,,SC of Boston,WBTS,,,,https://www.instagram.com/spence_howe/?hl=en,,X
,,X,Vadym Kolesnik,Male,Figure Skating,"Kharkiv, Ukraine",,"Kharkiv, Ukraine",,"Novi, MI",WDIV,,,SC of New York ,WNBC,,,,https://www.instagram.com/vadym____kolesnik/#,Emi and Vadym (@zingaskolesnik33) | TikTok,X
,,X,Alisa Efimova,Female,Figure Skating,"Kouvola, Finland",,,,"Norwood, MA ",WBTS,,,Skating Club of Boston,WBTS ,,,,https://www.instagram.com/alisaefim/?hl=en,,X
,,X,Alysa Liu,Female,Figure Skating,"Clovis, CA",KSEE,"Richmond, CA ",KCRA,"Oakland, CA",KNTV,University of California Los Angeles (UCLA) ,KNBC,St. Mortiz Skating Club ,KNTV,2022,,,https://www.instagram.com/alysaxliu/?hl=en,,X
,,X,Amber Glenn,Female,Figure Skating,"Plano, TX",KXAS,"Plano, TX",KXAS,"Colorado Springs, CO ",KOAA,,,Dallas Figure Skating Club ,KXAS,,,Amber Glenn (@AmberGlenn_) / X,https://www.instagram.com/amberglenniceskater/?hl=en,Amber (@amberglenniceskater) | TikTok,X
,,X,Audrey Shin,Female,Figure Skating,"Islip, NY ",WNBC,"Northport, NY ",WNBC,"Oakville, Ontario ",,,,SC of New York ,WNBC,,,,https://www.instagram.com/audreyshin.skater,https://www.tiktok.com/@audreyshin.skater,X
,,X,Bradie Tennell,Female,Figure Skating,"Winfield, IL",WMAQ,"Carpentersville, IL ",WMAQ,"West Orange, NJ",WNBC,,,,,2018,1 bronze,Bradie Tennell (@bradie_tennell) / X,https://www.instagram.com/bradietennell/?hl=en,Bradie Tennell (@bradietennell18) | TikTok,X
,,X,Caroline Green,Female,Figure Skating,"Washington, DC",WRC,"Rockville, MD",WRC,"Canton, MI",WDIV,,,Pavilion SC of Cleveland Heights,WKYC,,,,https://www.instagram.com/caroline.g_103/?hl=en,,X
,,X,Christina Carreira,Female,Figure Skating,Montreal,,"St. Clair, MI ",WDIV,"London, Ontario / Montreal",,,,SC of New York ,WNBC,,,,https://www.instagram.com/christinacarreira/,Christina (@christina.carreira) | TikTok,X
,,X,Ellie Kam,Female,Figure Skating,"Yokota Air Base, Japan",,"Colorado Springs, CO",KOAA,"Colorado Springs, CO",KOAA,,,Thunderbirds FSC ,KOAA,,,,https://www.instagram.com/elliekam.w/#,elliekam.w (@elliekam.w) | TikTok,X
,,X,Emilea Zingas,Female,Figure Skating,"Grosse Pointe Farms, MI",WDIV,"Grosse Pointe Farms, MI",WDIV,"Novi, MI",WDIV,,,St. Clair Shores FSC,WDIV ,,,Emi Zingas (@emileazingas) / X,https://www.instagram.com/emileazingas/?hl=en,,X
,,X,Emily Chan,Female,Figure Skating,"Pasadena, TX",KPRC,"Pasadena, TX",KPRC,"Norwood, MA",WBTS,,,Dallas Figure Skating Club / SC of Boston ,WBTS ,,,,https://www.instagram.com/chopstickspin/?hl=en,,X
,,X,Isabeau Levito,Female,Figure Skating,"Philadelphia, PA",WCAU,"Mount Holly, NJ",WCAU ,"Mount Holly, NJ",WCAU ,,,Skating Club of Southern New Jersey ,WCAU ,,,,https://www.instagram.com/isabeau.levito/?hl=en,isabeau (@isabeau.levito) | TikTok,X
,,X,Katie McBeath,Female,Figure Skating,"Garfield Heights, OH",WKYC,"Garfield Heights, OH",WKYC,"Irvine, CA",KNBC,,,Winterhurst FSC ,WKYC,,,,https://www.instagram.com/katie_mcbeath/?hl=en,,X
,,X,Madison Chock,Female,Figure Skating,"Redondo Beach, CA",KNBC,"Novi, MI ",WDIV ,Montreal,,,,Ann Arbor FSC ,WDIV,"2014, 2018, 2022 ",1 gold,Madison Chock (@chockolate02) / X,https://www.instagram.com/madisonchock/?hl=en,Madison Chock (@chockolate02) | TikTok,X
,,X,Maia Shibutani,Female,Figure Skating,"New York, NY",WNBC,"Greenwich, CT / Ann Arbor, MI ",WDIV,,,,,,,"2014, 2018 ",2 bronze,,https://www.instagram.com/maiashibutani/?hl=en,,X
,,X,Sarah Everhardt,Female,Figure Skating,"Cherry Point, NC",WITN,"Haymarket, VA ",WRC,"Reston, VA ",WRC,,,Washington FSC ,WRC,,,,https://www.instagram.com/sarah.everhardt26/?hl=en,Sarah.Everhardt (@sarah.elizabeth811) | TikTok,X
